Date,Open,High,Low,Close,Volume,Adj Close
2011-09-07,540.00,542.51,533.00,542.14,1078600,542.14
2011-09-06,517.49,534.20,514.01,533.70,1207700,533.70
2011-09-02,519.96,530.49,518.10,528.19,788300,528.19
2011-09-01,537.26,541.47,529.08,529.84,857600,529.84
2011-08-31,539.40,542.69,529.54,537.26,1302000,537.26
2011-08-30,520.49,541.78,518.51,535.22,1585500,535.22
2011-08-29,510.00,522.32,509.06,521.01,1118800,521.01
2011-08-26,477.99,503.81,475.50,503.47,1345700,503.47
2011-08-25,487.64,494.98,480.95,483.56,990100,483.56
2011-08-24,478.89,487.97,475.00,485.50,1597900,485.50
2011-08-23,450.13,477.48,447.73,476.61,1461800,476.61
2011-08-22,458.50,463.99,441.55,446.32,1642600,446.32
2011-08-19,452.00,477.80,445.15,448.95,2201500,448.95
2011-08-18,476.57,476.85,450.15,458.80,2017000,458.80
2011-08-17,499.20,505.51,486.00,491.85,1018100,491.85
2011-08-16,506.73,508.26,489.00,497.32,1816800,497.32
2011-08-15,504.66,514.93,500.39,514.35,1064100,514.35
2011-08-12,505.72,509.99,498.00,503.11,947800,503.11
2011-08-11,501.95,508.06,485.33,500.16,1852000,500.16
2011-08-10,503.16,512.95,497.50,498.80,2170200,498.80
2011-08-09,511.00,525.10,490.50,517.42,2466900,517.42
2011-08-08,510.25,523.49,503.94,505.00,2461600,505.00
2011-08-05,537.60,540.90,510.52,527.81,4049100,527.81
2011-08-04,518.01,519.45,480.84,483.34,3011000,483.34
2011-08-03,522.32,525.39,501.31,521.97,1203200,521.97
2011-08-02,536.10,539.15,517.45,518.32,1209200,518.32
2011-08-01,547.23,547.88,527.69,538.86,1142200,538.86
2011-07-29,528.18,542.87,526.00,537.65,1358900,537.65
2011-07-28,516.70,529.97,511.85,522.29,953100,522.29
2011-07-27,532.38,534.70,516.01,517.21,670200,517.21
2011-07-26,530.33,538.46,530.33,533.67,549500,533.67
2011-07-25,529.00,540.00,529.00,529.75,450800,529.75
2011-07-22,527.18,533.27,525.00,530.37,671600,530.37
2011-07-21,527.90,542.50,523.68,526.01,987100,526.01
2011-07-20,538.02,538.62,529.15,529.95,512000,529.95
2011-07-19,521.98,538.86,520.49,537.50,954400,537.50
2011-07-18,520.60,521.39,510.16,516.66,606500,516.66
2011-07-15,522.28,526.85,515.80,522.50,711500,522.50
2011-07-14,534.77,537.69,518.50,519.72,756500,519.72
2011-07-13,534.14,541.97,530.00,532.27,812200,532.27
2011-07-12,534.58,535.49,526.20,528.57,1138300,528.57
2011-07-11,544.00,548.75,535.20,536.55,1100400,536.55
2011-07-08,538.69,552.15,535.26,552.15,1087200,552.15
2011-07-07,541.74,549.60,540.17,547.34,904800,547.34
2011-07-06,534.84,538.96,530.04,536.13,647400,536.13
2011-07-05,525.00,537.10,521.11,535.37,880200,535.37
2011-07-01,513.39,525.24,510.00,524.80,1058600,524.80
2011-06-30,507.61,514.51,505.62,511.93,1006900,511.93
2011-06-29,497.60,507.10,492.41,503.88,1188600,503.88
2011-06-28,489.35,495.65,486.62,495.40,1159800,495.40
2011-06-27,483.74,489.69,483.74,487.10,754400,487.10
2011-06-24,490.43,490.59,480.05,482.97,1399500,482.97
2011-06-23,474.24,490.69,473.10,490.00,1138800,490.00
2011-06-22,485.11,489.38,480.34,480.66,922000,480.66
2011-06-21,461.56,489.56,458.95,487.61,1747600,487.61
2011-06-20,456.36,465.46,451.75,458.78,808300,458.78
2011-06-17,466.40,467.92,460.16,462.35,1345400,462.35
2011-06-16,470.15,471.91,452.34,461.71,1633500,461.71
2011-06-15,476.75,480.99,468.51,471.17,1042500,471.17
2011-06-14,486.40,489.33,477.14,480.72,1105200,480.72
2011-06-13,482.13,497.60,480.00,482.13,1167900,482.13
2011-06-10,501.86,502.90,491.38,493.18,856400,493.18
2011-06-09,501.12,506.28,495.70,503.17,522600,503.17
2011-06-08,504.52,509.81,497.19,500.68,786600,500.68
2011-06-07,504.68,511.28,501.26,506.12,683400,506.12
2011-06-06,506.05,510.38,501.03,502.87,785500,502.87
2011-06-03,506.38,516.36,505.00,507.80,897000,507.80
2011-06-02,507.99,514.98,504.14,512.78,757300,512.78
2011-06-01,514.18,519.39,506.06,507.06,957900,507.06
2011-05-31,506.05,515.19,505.15,515.19,865200,515.19
2011-05-27,505.39,509.65,500.55,501.44,626900,501.44
2011-05-26,497.50,507.45,496.74,505.11,809300,505.11
2011-05-25,498.81,502.77,487.70,498.81,1048000,498.81
2011-05-24,504.00,504.68,489.00,490.92,1639100,490.92
2011-05-23,512.95,513.58,501.04,501.66,1400000,501.66
2011-05-20,521.17,525.99,519.60,520.08,764400,520.08
2011-05-19,519.87,527.50,519.23,522.10,823800,522.10
2011-05-18,505.10,521.01,502.79,518.38,1290800,518.38
2011-05-17,499.86,505.39,493.67,504.40,1283700,504.40
2011-05-16,518.01,519.33,498.61,503.38,1466700,503.38
2011-05-13,524.34,530.68,520.50,520.61,842400,520.61
2011-05-12,520.50,527.04,514.10,523.96,990000,523.96
2011-05-11,528.50,530.15,518.00,520.99,818300,520.99
2011-05-10,531.30,531.92,524.28,528.50,1246900,528.50
2011-05-09,519.25,532.00,517.58,529.20,1230100,529.20
2011-05-06,530.50,540.93,518.10,519.03,3351900,519.03
2011-05-05,535.50,545.50,531.18,533.97,2300000,533.97
2011-05-04,539.99,544.23,528.00,537.56,1139700,537.56
2011-05-03,556.47,561.00,537.03,540.11,1200000,540.11
2011-05-02,551.82,561.88,551.22,555.65,1228500,555.65
2011-04-29,550.23,556.27,545.95,547.01,1132200,547.01
2011-04-28,538.87,551.17,537.58,550.03,832200,550.03
2011-04-27,538.66,544.56,534.80,539.45,729300,539.45
2011-04-26,544.94,546.20,532.37,537.69,809400,537.69
2011-04-25,544.80,547.91,542.23,544.31,567400,544.31
2011-04-21,533.14,544.27,530.36,543.95,901600,543.95
2011-04-20,530.60,537.00,530.02,531.35,1011300,531.35
2011-04-19,517.00,525.57,512.67,525.53,821200,525.53
2011-04-18,517.28,517.85,507.55,516.78,1016700,516.78
2011-04-15,512.88,520.34,509.35,520.07,933200,520.07
2011-04-14,511.79,514.00,508.01,512.65,959900,512.65
2011-04-13,514.25,516.30,509.50,514.81,833500,514.81
2011-04-12,509.99,515.00,505.50,512.14,946000,512.14
2011-04-11,507.86,512.50,500.47,512.45,1074700,512.45
2011-04-08,514.00,515.98,504.55,506.82,927000,506.82
2011-04-07,506.38,511.85,502.22,508.86,956500,508.86
2011-04-06,520.00,521.00,503.54,506.27,1306900,506.27
2011-04-05,516.65,522.00,514.81,516.94,710500,516.94
2011-04-04,515.21,518.68,509.50,518.59,883700,518.59
2011-04-01,508.18,515.64,507.83,513.85,1393700,513.85
2011-03-31,503.02,509.00,500.60,506.44,1087800,506.44
2011-03-30,495.01,506.69,493.63,504.00,1237900,504.00
2011-03-29,482.84,493.44,481.00,491.69,981900,491.69
2011-03-28,488.47,491.36,483.99,483.99,771400,483.99
2011-03-25,480.13,490.39,478.15,487.00,1236100,487.00
2011-03-24,470.52,478.00,468.00,476.01,1191600,476.01
2011-03-23,454.55,467.99,450.06,466.26,1174700,466.26
2011-03-22,458.00,462.19,448.72,455.70,1331700,455.70
2011-03-21,453.00,458.47,443.12,456.93,1032900,456.93
2011-03-18,456.88,457.79,448.50,449.54,1352500,449.54
2011-03-17,462.50,462.50,451.77,452.19,915500,452.19
2011-03-16,459.12,466.53,450.00,455.96,1317100,455.96
2011-03-15,451.63,464.35,451.25,461.34,1221600,461.34
2011-03-14,459.21,464.50,455.44,463.61,897000,463.61
2011-03-11,462.20,466.76,457.30,463.19,925500,463.19
2011-03-10,461.26,468.69,457.22,464.41,1325900,464.41
2011-03-09,464.67,474.36,464.67,468.52,1126900,468.52
2011-03-08,464.55,471.70,460.11,469.08,1273500,469.08
2011-03-07,470.00,474.74,459.26,466.69,1450000,466.69
2011-03-04,462.87,469.74,461.56,469.13,1346800,469.13
2011-03-03,453.75,464.80,453.75,464.79,1545700,464.79
2011-03-02,443.27,454.49,443.01,449.18,1300100,449.18
2011-03-01,450.00,452.24,440.81,445.23,1795200,445.23
2011-02-28,460.75,463.99,450.23,453.88,1332900,453.88
2011-02-25,465.94,465.97,459.51,460.03,1229800,460.03
2011-02-24,466.61,469.40,453.11,462.34,4461500,462.34
2011-02-23,433.01,438.88,416.00,425.99,2583500,425.99
2011-02-22,443.58,444.91,430.30,433.78,1333300,433.78
2011-02-18,455.50,457.58,446.46,448.93,968500,448.93
2011-02-17,457.79,462.35,453.95,455.27,709700,455.27
2011-02-16,457.85,461.60,455.82,458.04,658500,458.04
2011-02-15,454.00,464.47,452.54,457.20,888200,457.20
2011-02-14,458.00,459.57,453.53,457.01,666900,457.01
2011-02-11,450.73,457.73,448.55,455.39,1167300,455.39
2011-02-10,449.69,456.50,445.22,455.43,1100100,455.43
2011-02-09,441.96,459.10,440.44,451.11,1364500,451.11
2011-02-08,435.94,443.40,435.27,442.75,801500,442.75
2011-02-07,436.00,441.62,431.06,437.20,951700,437.20
2011-02-04,436.98,440.00,433.03,433.43,1114200,433.43
2011-02-03,435.48,441.00,435.25,435.99,778300,435.99
2011-02-02,435.34,441.79,435.32,437.19,559600,437.19
2011-02-01,432.00,444.95,431.94,437.93,1033100,437.93
2011-01-31,425.40,429.87,421.76,428.52,706200,428.52
2011-01-28,435.63,439.00,424.00,425.31,1278300,425.31
2011-01-27,423.63,439.17,423.41,437.14,1118600,437.14
2011-01-26,428.21,428.97,421.02,422.70,911400,422.70
2011-01-25,420.45,428.86,418.80,428.86,724300,428.86
2011-01-24,425.04,426.86,417.32,423.80,706500,423.80
2011-01-21,425.31,431.01,424.35,425.60,1137100,425.60
2011-01-20,429.78,429.78,416.00,424.22,1425800,424.22
2011-01-19,440.11,440.91,429.55,432.03,826700,432.03
2011-01-18,437.21,441.50,437.21,440.91,693000,440.91
2011-01-14,438.13,439.48,435.00,437.99,789700,437.99
2011-01-13,435.23,440.60,433.42,439.51,616000,439.51
2011-01-12,433.24,435.47,431.74,434.24,585900,434.24
2011-01-11,442.80,443.19,429.13,431.21,1445600,431.21
2011-01-10,437.79,441.50,435.15,440.56,616100,440.56
2011-01-07,439.20,441.89,434.45,440.59,1098800,440.59
2011-01-06,433.96,441.54,430.09,437.32,1634500,437.32
2011-01-05,410.64,434.95,410.64,433.60,2406400,433.60
2011-01-04,415.74,417.62,408.30,409.38,1088300,409.38
2011-01-03,402.25,415.99,402.25,415.99,1323200,415.99
