Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,57.59,57.63,57.13,57.15,407400,56.31
2011-12-29,56.91,57.61,56.70,57.43,386400,56.58
2011-12-28,57.42,57.57,56.51,56.66,471300,55.82
2011-12-27,57.35,57.76,57.19,57.55,329300,56.70
2011-12-23,57.29,57.58,57.12,57.56,275900,56.71
2011-12-22,57.19,57.59,56.95,57.22,594300,56.37
2011-12-21,57.00,57.26,55.74,57.18,914900,56.34
2011-12-20,56.34,57.43,56.17,57.02,994500,56.18
2011-12-19,56.70,57.22,55.29,55.47,820600,54.65
2011-12-16,56.45,57.23,56.14,56.60,1274900,55.76
2011-12-15,57.00,57.19,55.72,55.90,1004200,55.07
2011-12-14,56.51,56.72,55.73,56.31,1055500,55.48
2011-12-13,58.09,58.20,56.39,56.76,1834800,55.92
2011-12-12,56.23,58.09,56.23,57.96,2002800,57.10
2011-12-09,55.98,58.20,55.98,56.66,4914300,55.82
2011-12-08,53.65,53.72,52.47,52.50,1362000,51.72
2011-12-07,54.54,54.70,53.50,53.88,1135500,53.08
2011-12-06,54.46,54.91,54.17,54.88,1122600,54.07
2011-12-05,54.63,54.78,54.15,54.50,1325500,53.70
2011-12-02,54.70,54.99,53.43,53.54,1068800,52.75
2011-12-01,54.15,54.99,53.98,54.23,770700,53.43
2011-11-30,53.83,54.55,53.59,54.49,1564300,53.69
2011-11-29,52.03,52.66,51.66,51.95,896100,51.18
2011-11-28,51.54,52.05,51.24,51.72,1394500,50.96
2011-11-25,49.84,50.72,49.79,49.92,219300,49.18
2011-11-23,51.04,51.11,49.97,50.15,1007900,49.41
2011-11-22,52.03,52.05,51.09,51.61,939000,50.85
2011-11-21,51.51,52.25,51.41,51.98,1004700,51.21
2011-11-18,52.62,52.81,52.15,52.33,904300,51.56
2011-11-17,53.11,53.11,51.67,52.34,1286400,51.57
2011-11-16,53.00,53.98,52.67,53.22,1469100,52.43
2011-11-15,52.46,53.89,52.17,53.64,1140000,52.85
2011-11-14,52.24,52.96,52.11,52.71,858000,51.93
2011-11-11,51.40,52.65,51.36,52.56,784700,51.78
2011-11-10,51.06,51.06,50.08,50.62,1011400,49.87
2011-11-09,50.80,51.55,49.98,50.12,877800,49.38
2011-11-08,52.00,52.43,50.99,52.32,716100,51.55
2011-11-07,51.99,52.25,50.66,51.84,693600,51.07
2011-11-04,51.69,52.39,50.95,52.18,695500,51.41
2011-11-03,51.13,52.31,50.38,52.24,1319100,51.47
2011-11-02,50.96,51.08,49.79,50.43,1087800,49.69
2011-11-01,49.19,50.36,48.86,49.64,1289300,48.91
2011-10-31,51.78,52.46,51.16,51.17,1222700,50.41
2011-10-28,52.74,52.88,51.78,52.57,1838000,51.79
2011-10-27,52.77,54.08,52.46,53.37,926100,52.58
2011-10-26,51.22,51.53,50.07,51.18,1010300,50.42
2011-10-25,50.95,51.16,49.82,50.64,1073800,49.89
2011-10-24,49.86,51.45,49.76,51.30,1119800,50.54
2011-10-21,48.71,49.80,48.43,49.79,1265900,49.05
2011-10-20,48.24,48.29,47.10,47.72,1400500,47.02
2011-10-19,48.74,49.47,47.86,48.13,1364900,47.42
2011-10-18,48.06,49.51,47.29,48.96,1031700,48.24
2011-10-17,48.58,48.90,47.65,47.81,1214000,47.10
2011-10-14,48.69,49.09,47.97,49.00,1520300,48.28
2011-10-13,47.28,48.04,46.77,47.93,1395200,47.22
2011-10-12,47.33,48.29,46.95,47.72,1504300,47.02
2011-10-11,46.48,47.25,46.39,46.72,1212200,46.03
2011-10-10,46.79,47.32,46.33,47.01,1270500,46.14
2011-10-07,45.58,46.60,45.12,46.04,3357500,45.19
2011-10-06,43.22,45.05,43.19,45.02,1968400,44.19
2011-10-05,42.48,43.54,41.96,43.22,1719800,42.42
2011-10-04,40.15,42.58,39.81,42.47,1705400,41.69
2011-10-03,41.84,42.60,40.39,41.00,2269200,40.24
2011-09-30,43.18,43.46,42.32,42.40,1952000,41.62
2011-09-29,44.08,44.31,42.78,43.93,2019100,43.12
2011-09-28,44.71,44.72,42.92,43.02,2114900,42.23
2011-09-27,44.69,45.06,43.93,44.22,1940600,43.40
2011-09-26,43.09,43.57,41.80,43.48,1186900,42.68
2011-09-23,41.35,42.35,41.11,42.20,1843900,41.42
2011-09-22,40.73,41.63,40.57,41.38,3028400,40.62
2011-09-21,43.63,44.22,42.13,42.14,1717900,41.36
2011-09-20,45.00,45.19,43.82,43.90,1866100,43.09
2011-09-19,43.89,44.84,43.59,44.59,1605600,43.77
2011-09-16,44.37,45.28,44.13,44.85,3083200,44.02
2011-09-15,43.96,44.29,42.56,44.25,3039300,43.43
2011-09-14,43.17,44.27,41.91,43.51,1797600,42.71
2011-09-13,42.41,43.39,42.08,42.96,2218800,42.17
2011-09-12,41.65,42.21,41.16,42.19,2753600,41.41
2011-09-09,43.66,43.75,41.97,42.47,3038100,41.69
2011-09-08,43.74,45.32,43.42,44.03,5652200,43.22
2011-09-07,48.69,49.01,48.43,48.82,1575600,47.92
2011-09-06,46.31,47.88,46.08,47.76,1706700,46.88
2011-09-02,48.45,49.13,47.75,48.11,1627300,47.22
2011-09-01,51.29,51.97,49.62,49.69,1868900,48.77
2011-08-31,51.59,52.24,50.23,51.13,1993700,50.19
2011-08-30,50.60,51.82,50.36,51.46,1084000,50.51
2011-08-29,49.79,51.15,49.79,51.02,1421900,50.08
2011-08-26,46.93,49.08,46.22,49.01,974800,48.11
2011-08-25,48.23,48.63,47.05,47.40,1406200,46.53
2011-08-24,46.39,48.07,46.21,47.95,998700,47.07
2011-08-23,44.73,46.62,44.27,46.61,1307100,45.75
2011-08-22,45.22,45.28,44.28,44.60,1483400,43.78
2011-08-19,43.28,45.15,43.16,44.08,2394300,43.27
2011-08-18,45.61,46.00,43.76,44.16,2194800,43.35
2011-08-17,47.68,48.09,46.89,47.34,1276300,46.47
2011-08-16,48.29,48.29,46.96,47.31,2663500,46.44
2011-08-15,48.57,49.50,48.34,48.82,2304900,47.92
2011-08-12,47.09,48.49,47.00,48.19,2545400,47.30
2011-08-11,43.69,46.90,43.52,46.12,2284100,45.27
2011-08-10,44.11,45.21,43.23,43.35,3772400,42.55
2011-08-09,42.39,45.34,42.08,45.32,4982300,44.48
2011-08-08,43.33,43.86,41.37,41.38,3279200,40.62
2011-08-05,46.01,46.93,43.73,44.54,4059200,43.72
2011-08-04,46.94,46.99,44.87,44.99,2285800,44.16
2011-08-03,47.13,47.93,46.10,47.80,2018200,46.92
2011-08-02,48.64,48.86,47.17,47.18,2071900,46.14
2011-08-01,50.39,50.57,48.33,48.93,2675900,47.85
2011-07-29,50.63,50.65,49.49,49.58,3913600,48.49
2011-07-28,51.91,52.22,51.23,51.27,1679100,50.14
2011-07-27,53.69,53.69,51.65,51.90,1530000,50.75
2011-07-26,54.76,54.76,53.70,54.07,945200,52.88
2011-07-25,54.45,55.25,54.30,54.83,894400,53.62
2011-07-22,54.95,55.29,54.82,55.05,607800,53.83
2011-07-21,54.74,55.22,54.24,55.01,881000,53.80
2011-07-20,54.29,54.58,53.78,54.44,1271000,53.24
2011-07-19,53.30,54.27,53.24,54.12,1070800,52.93
2011-07-18,54.18,54.18,52.75,52.92,1640800,51.75
2011-07-15,54.79,54.88,54.01,54.49,1193700,53.29
2011-07-14,55.79,55.91,54.37,54.47,1119400,53.27
2011-07-13,55.95,56.36,55.54,55.67,513400,54.44
2011-07-12,55.76,56.10,55.47,55.60,848400,54.37
2011-07-11,56.40,56.47,55.59,55.96,920300,54.72
2011-07-08,56.74,57.21,56.51,57.17,682400,55.91
2011-07-07,58.09,58.09,57.44,57.62,855200,56.35
2011-07-06,57.17,57.48,56.70,57.32,685600,56.05
2011-07-05,57.62,57.73,57.13,57.36,560000,56.09
2011-07-01,56.27,57.96,55.89,57.79,1074600,56.51
2011-06-30,55.59,56.39,55.37,56.23,701300,54.99
2011-06-29,55.56,55.77,55.10,55.49,800000,54.26
2011-06-28,54.75,55.52,54.52,55.41,516900,54.19
2011-06-27,54.09,54.72,53.69,54.42,456500,53.22
2011-06-24,54.78,54.87,53.87,54.17,861100,52.97
2011-06-23,54.12,54.70,53.57,54.63,796200,53.42
2011-06-22,54.80,55.69,54.80,55.01,547800,53.80
2011-06-21,54.36,55.21,54.25,55.06,458800,53.84
2011-06-20,53.50,54.35,53.41,54.02,441900,52.83
2011-06-17,53.59,54.00,53.34,53.59,1002500,52.41
2011-06-16,53.34,53.65,52.43,52.97,718800,51.80
2011-06-15,53.97,54.32,53.09,53.39,875900,52.21
2011-06-14,53.86,54.79,53.71,54.52,833300,53.32
2011-06-13,53.31,53.61,52.89,53.31,981700,52.13
2011-06-10,53.12,53.67,52.75,52.85,1056300,51.68
2011-06-09,52.83,53.87,52.78,53.32,909300,52.14
2011-06-08,53.29,53.96,52.85,52.92,700000,51.75
2011-06-07,53.47,53.95,53.13,53.32,663100,52.14
2011-06-06,53.14,53.56,52.78,53.18,593800,52.01
2011-06-03,53.33,54.11,53.18,53.56,768900,52.38
2011-06-02,54.35,54.84,53.85,54.19,1298100,52.99
2011-06-01,55.81,56.33,54.19,54.22,958400,53.02
2011-05-31,55.53,56.12,55.10,56.10,1041400,54.86
2011-05-27,55.03,55.43,54.88,55.06,719300,53.84
2011-05-26,53.96,54.92,53.89,54.70,547800,53.49
2011-05-25,53.40,54.57,53.17,54.24,564000,53.04
2011-05-24,53.86,54.19,53.50,53.74,544000,52.55
2011-05-23,54.06,54.06,53.44,53.77,568800,52.58
2011-05-20,55.57,55.57,54.66,54.86,556300,53.65
2011-05-19,55.49,55.94,55.11,55.50,803200,54.27
2011-05-18,54.20,55.22,54.00,55.13,761300,53.91
2011-05-17,54.55,54.55,53.46,54.16,925800,52.96
2011-05-16,55.07,55.55,54.72,54.80,631700,53.59
2011-05-13,55.80,56.19,55.31,55.37,954700,54.15
2011-05-12,55.60,56.02,54.84,55.81,784000,54.58
2011-05-11,56.41,56.45,55.57,55.87,889000,54.64
2011-05-10,56.05,56.72,56.02,56.59,698100,55.34
2011-05-09,54.88,56.30,54.88,55.86,1111900,54.63
2011-05-06,56.13,56.42,54.95,54.99,1553800,53.78
2011-05-05,55.88,56.42,55.11,55.44,887800,54.04
2011-05-04,57.21,57.46,56.04,56.19,671800,54.78
2011-05-03,58.06,58.34,57.35,57.42,541400,55.97
2011-05-02,58.74,58.83,57.80,58.34,873300,56.87
2011-04-29,58.45,58.89,58.38,58.44,568000,56.97
2011-04-28,58.20,58.47,58.09,58.32,506000,56.85
2011-04-27,58.13,58.45,57.36,58.27,524500,56.80
2011-04-26,57.30,58.27,56.96,58.01,818700,56.55
2011-04-25,57.52,57.67,56.83,56.87,294000,55.44
2011-04-21,57.29,57.62,56.90,57.53,476900,56.08
2011-04-20,56.93,57.27,56.55,57.06,925600,55.62
2011-04-19,55.36,55.99,55.36,55.85,768300,54.44
2011-04-18,56.52,56.61,55.25,55.40,995100,54.01
2011-04-15,57.66,57.96,57.11,57.28,1420600,55.84
2011-04-14,56.51,57.10,55.78,57.05,1656900,55.61
2011-04-13,57.32,57.59,56.52,57.03,555800,55.59
2011-04-12,57.56,57.63,57.00,57.14,538000,55.70
2011-04-11,58.77,58.85,57.59,57.98,641400,56.52
2011-04-08,59.40,59.50,58.24,58.73,1137600,57.25
2011-04-07,58.80,59.19,58.56,59.09,944000,57.60
2011-04-06,58.84,59.23,58.55,58.88,592500,57.40
2011-04-05,58.52,59.04,58.30,58.60,1138200,57.13
2011-04-04,58.15,58.57,57.80,58.57,984300,57.10
2011-04-01,57.80,58.18,57.66,57.98,891300,56.52
2011-03-31,56.79,57.67,56.79,57.61,655600,56.16
2011-03-30,57.20,57.39,56.78,56.79,798300,55.36
2011-03-29,56.05,57.03,55.64,57.00,846900,55.57
2011-03-28,56.67,56.98,56.07,56.10,492300,54.69
2011-03-25,56.11,56.64,55.75,56.59,890300,55.17
2011-03-24,56.93,56.94,55.54,55.87,1402700,54.46
2011-03-23,56.54,56.95,55.86,56.72,692800,55.29
2011-03-22,57.50,57.50,56.29,56.74,613200,55.31
2011-03-21,57.26,57.66,56.97,57.45,899900,56.00
2011-03-18,56.59,56.88,56.19,56.63,1147100,55.20
2011-03-17,56.22,56.52,55.43,55.84,694700,54.43
2011-03-16,56.00,56.88,54.92,55.18,1569300,53.79
2011-03-15,54.72,56.54,54.10,56.17,1933800,54.76
2011-03-14,56.56,56.83,54.98,56.35,1470400,54.93
2011-03-11,56.34,57.56,55.52,57.02,2509700,55.59
2011-03-10,54.32,55.24,53.64,53.69,1298400,52.34
2011-03-09,55.05,55.59,54.58,55.23,803200,53.84
2011-03-08,54.69,55.35,54.27,55.08,966300,53.69
2011-03-07,55.32,55.91,54.36,54.62,1080200,53.25
2011-03-04,55.33,55.59,54.74,55.27,741300,53.88
