Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,130.22,130.71,128.94,128.94,1019000,125.45
2011-12-29,129.03,130.50,128.76,129.83,1203900,126.32
2011-12-28,131.52,131.52,128.97,129.03,1129200,125.54
2011-12-27,130.34,131.92,129.55,131.00,1254900,127.46
2011-12-23,129.40,130.31,128.89,130.26,891300,126.74
2011-12-22,128.12,129.49,127.76,129.06,2302100,125.57
2011-12-21,126.90,127.84,125.84,127.64,1533200,124.19
2011-12-20,124.94,127.57,124.82,127.28,1885600,123.84
2011-12-19,124.01,124.95,123.07,123.26,1364100,119.93
2011-12-16,123.45,124.97,122.62,123.34,2273100,120.00
2011-12-15,121.65,123.27,121.05,122.25,1344600,118.94
2011-12-14,120.10,122.00,119.63,120.51,1652600,117.25
2011-12-13,122.55,123.20,119.68,120.54,1518500,117.08
2011-12-12,123.23,123.24,120.68,121.75,1643800,118.26
2011-12-09,122.24,125.06,121.72,124.30,1708400,120.74
2011-12-08,123.26,123.44,121.10,121.50,1395600,118.02
2011-12-07,122.12,124.69,121.48,124.30,1210500,120.74
2011-12-06,122.93,123.35,121.94,122.84,1250400,119.32
2011-12-05,124.21,124.44,122.14,122.97,1550500,119.44
2011-12-02,124.28,125.00,122.70,122.80,1599900,119.28
2011-12-01,123.83,124.17,122.05,123.00,1269200,119.47
2011-11-30,122.91,124.62,121.29,124.34,2908400,120.78
2011-11-29,118.94,119.50,118.19,119.18,1435500,115.76
2011-11-28,119.83,120.11,117.39,118.55,1824500,115.15
2011-11-25,115.63,118.54,115.21,116.33,777100,113.00
2011-11-23,117.79,118.05,115.71,115.78,1545100,112.46
2011-11-22,119.15,120.16,117.91,119.10,1191000,115.69
2011-11-21,120.47,121.92,119.08,119.50,1647400,116.07
2011-11-18,122.93,123.52,121.45,123.21,1429300,119.68
2011-11-17,123.58,124.11,121.38,122.11,1601600,118.61
2011-11-16,125.30,126.40,123.73,123.85,1533900,120.30
2011-11-15,124.75,127.32,124.48,126.28,1545300,122.66
2011-11-14,126.43,127.06,124.18,124.99,1509400,121.41
2011-11-11,127.63,128.24,126.04,127.97,1848000,123.43
2011-11-10,127.07,127.20,124.57,125.84,1365600,121.37
2011-11-09,128.34,128.50,124.80,125.19,2366100,120.75
2011-11-08,130.26,131.21,127.36,130.80,1696600,126.16
2011-11-07,128.95,130.67,127.56,129.79,1045700,125.18
2011-11-04,128.43,129.18,125.91,128.84,1430000,124.27
2011-11-03,128.38,129.89,125.84,129.40,1983700,124.81
2011-11-02,127.47,128.48,124.84,127.68,2067000,123.15
2011-11-01,125.13,129.35,124.21,125.35,3299200,120.90
2011-10-31,127.63,129.84,127.30,128.44,2200800,123.88
2011-10-28,127.48,129.50,126.96,129.43,2166700,124.84
2011-10-27,125.98,130.10,125.52,129.10,2810700,124.52
2011-10-26,121.77,124.26,121.43,123.59,2189800,119.20
2011-10-25,122.02,123.27,120.82,121.11,2118500,116.81
2011-10-24,120.62,123.26,119.73,122.87,2417300,118.51
2011-10-21,118.28,120.76,117.27,120.70,2869400,116.42
2011-10-20,115.38,116.94,113.80,116.74,1740100,112.60
2011-10-19,117.19,117.75,115.13,115.56,2080500,111.46
2011-10-18,113.34,117.65,112.97,117.21,2123500,113.05
2011-10-17,115.40,115.63,112.76,112.94,2016400,108.93
2011-10-14,114.41,116.21,113.99,115.89,1360100,111.78
2011-10-13,114.28,114.35,111.83,113.19,1560400,109.17
2011-10-12,113.62,116.48,112.72,115.23,1993100,111.14
2011-10-11,113.74,114.49,112.06,112.84,1770800,108.83
2011-10-10,111.80,114.68,111.50,114.60,2334000,110.53
2011-10-07,113.14,113.45,109.38,109.50,2540400,105.61
2011-10-06,109.23,112.72,107.33,112.56,2659000,108.56
2011-10-05,110.34,110.57,106.14,109.40,3904000,105.52
2011-10-04,105.09,111.10,103.32,110.79,4700000,106.86
2011-10-03,109.06,112.20,106.49,106.50,5211600,102.72
2011-09-30,111.19,113.40,109.94,109.98,3478000,106.08
2011-09-29,113.28,113.50,110.99,112.58,1942400,108.58
2011-09-28,113.86,114.59,111.07,111.27,2302200,107.32
2011-09-27,115.33,116.24,112.85,113.60,2313100,109.57
2011-09-26,113.03,113.67,111.17,113.50,2522700,109.47
2011-09-23,109.80,113.43,109.01,112.71,2693000,108.71
2011-09-22,110.05,112.80,109.28,110.82,4243100,106.89
2011-09-21,119.91,120.17,112.00,112.50,3363700,108.51
2011-09-20,119.41,121.18,118.41,119.58,1817000,115.34
2011-09-19,118.65,120.04,117.97,118.83,2094800,114.61
2011-09-16,119.33,120.76,117.53,120.70,2801900,116.42
2011-09-15,117.38,119.12,116.64,119.08,2516100,114.85
2011-09-14,117.04,117.31,114.42,116.50,2135400,112.36
2011-09-13,116.31,116.61,114.30,116.35,2266600,112.22
2011-09-12,114.06,116.16,113.25,116.06,2205100,111.94
2011-09-09,117.16,118.17,114.25,115.84,2385900,111.73
2011-09-08,118.82,119.99,117.64,118.71,1745600,114.50
2011-09-07,118.20,119.48,116.19,119.38,3038600,115.14
2011-09-06,111.55,116.96,111.14,116.14,2744500,112.02
2011-09-02,114.77,116.49,114.28,114.59,2055700,110.52
2011-09-01,117.87,118.94,116.78,117.46,2510300,113.29
2011-08-31,116.97,117.97,115.63,117.50,2486300,113.33
2011-08-30,116.79,117.34,114.79,116.33,2059000,112.20
2011-08-29,116.67,117.34,115.01,117.22,1940500,113.06
2011-08-26,112.79,115.39,109.98,115.16,2212500,111.07
2011-08-25,116.17,117.71,112.05,113.34,2305400,109.32
2011-08-24,113.28,115.95,112.35,115.45,2194400,111.35
2011-08-23,110.60,113.70,110.00,113.66,1756300,109.63
2011-08-22,112.65,112.65,109.26,110.47,2256600,106.55
2011-08-19,111.57,113.81,110.00,110.26,3125400,106.35
2011-08-18,114.19,115.07,111.37,112.71,4033400,108.71
2011-08-17,118.06,118.88,116.64,117.58,2256500,113.41
2011-08-16,114.02,117.81,113.13,117.25,3155400,113.09
2011-08-15,114.73,116.11,113.98,116.03,2409100,111.91
2011-08-12,115.20,117.00,113.28,114.26,2042200,109.43
2011-08-11,108.19,116.58,107.96,114.53,4614600,109.69
2011-08-10,107.98,113.05,106.82,107.89,4823400,103.33
2011-08-09,101.22,111.23,99.97,111.08,6097600,106.39
2011-08-08,105.78,107.35,99.60,99.74,5182000,95.53
2011-08-05,112.31,112.34,106.88,108.84,3377900,104.24
2011-08-04,114.01,114.53,110.67,110.90,3267100,106.21
2011-08-03,115.72,115.97,112.29,115.41,1909200,110.53
2011-08-02,118.89,119.58,115.78,115.79,2395200,110.90
2011-08-01,121.82,122.67,118.66,119.74,2337100,114.68
2011-07-29,119.61,120.66,118.11,120.51,2092700,115.42
2011-07-28,119.48,121.76,118.34,120.64,1505200,115.54
2011-07-27,121.83,122.29,119.04,119.21,1900800,114.17
2011-07-26,120.76,123.48,120.27,122.39,1684600,117.22
2011-07-25,120.30,121.15,119.82,120.47,1109900,115.38
2011-07-22,121.40,122.07,120.65,121.85,966400,116.70
2011-07-21,121.28,121.94,120.62,121.27,1471200,116.15
