Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,81.65,81.86,80.86,80.90,1474700,77.22
2011-12-29,80.96,81.74,80.88,81.52,1123700,77.81
2011-12-28,81.68,81.78,80.85,80.94,840400,77.26
2011-12-27,81.33,81.66,80.94,81.32,1483200,77.62
2011-12-23,81.00,81.46,80.67,81.41,1927500,77.71
2011-12-22,79.82,81.03,79.63,80.81,2793300,77.13
2011-12-21,78.45,79.69,78.02,79.63,1820700,76.01
2011-12-20,77.94,78.87,77.83,78.53,1749900,74.96
2011-12-19,77.28,77.69,76.60,76.82,1393200,73.33
2011-12-16,77.62,77.88,76.32,77.10,4215600,73.59
2011-12-15,77.07,77.52,76.76,76.92,1972300,73.42
2011-12-14,76.72,76.87,76.02,76.29,1439800,72.82
2011-12-13,77.38,77.77,76.46,76.73,1642200,73.24
2011-12-12,77.44,77.47,76.40,76.89,1450200,73.39
2011-12-09,77.05,77.70,77.02,77.42,1239700,73.90
2011-12-08,77.47,77.65,76.42,76.52,1797200,73.04
2011-12-07,77.94,78.05,77.37,77.57,2092300,74.04
2011-12-06,77.80,78.49,77.62,77.91,1498300,74.37
2011-12-05,78.56,78.66,77.60,78.11,2524900,74.56
2011-12-02,79.55,79.80,77.23,77.82,2421700,74.28
2011-12-01,78.14,79.49,78.11,78.98,1896800,75.39
2011-11-30,78.03,78.86,77.73,78.15,2998500,74.59
2011-11-29,77.29,77.29,76.35,76.51,2644800,73.03
2011-11-28,76.81,78.00,76.00,78.00,5886500,73.50
2011-11-25,74.02,76.23,74.00,75.39,2001900,71.04
2011-11-23,73.76,74.57,73.55,73.95,2479700,69.68
2011-11-22,74.51,74.94,73.57,74.47,2297300,70.17
2011-11-21,74.16,74.89,72.37,74.49,8533400,70.19
2011-11-18,75.60,75.72,74.94,75.10,6630400,70.76
2011-11-17,75.75,75.98,74.39,75.16,2895000,70.82
2011-11-16,77.10,77.32,75.77,75.93,2368200,71.55
2011-11-15,77.12,78.14,77.01,77.85,1405800,73.36
2011-11-14,77.33,77.95,77.23,77.35,1497800,72.88
2011-11-11,76.94,77.81,76.78,77.42,1728900,72.95
2011-11-10,77.30,77.40,75.77,76.13,2608300,71.73
2011-11-09,77.02,77.53,76.56,76.95,2773000,72.51
2011-11-08,78.42,78.87,77.54,78.39,2209200,73.86
2011-11-07,76.43,78.42,75.96,78.26,2541900,73.74
2011-11-04,75.53,76.52,74.74,76.52,2933000,72.10
2011-11-03,75.16,76.21,74.60,76.09,1411900,71.70
2011-11-02,74.73,75.29,74.33,74.52,1968600,70.22
2011-11-01,74.56,75.06,73.48,73.99,2709200,69.72
2011-10-31,75.28,77.00,75.09,75.90,3272200,71.52
2011-10-28,75.72,76.69,75.06,75.43,2244700,71.08
2011-10-27,78.02,78.30,75.22,75.65,3157700,71.28
2011-10-26,78.94,78.94,75.64,76.35,4405800,71.94
2011-10-25,78.66,79.90,78.05,78.89,3274900,74.34
2011-10-24,77.39,78.86,76.57,78.73,2207100,74.18
2011-10-21,76.41,77.40,75.64,77.40,2122300,72.93
2011-10-20,75.75,76.05,74.81,75.70,1368600,71.33
2011-10-19,75.90,76.68,75.21,75.47,1226700,71.11
2011-10-18,74.80,76.42,74.24,75.98,1959500,71.59
2011-10-17,75.75,76.45,74.56,74.72,2477000,70.41
2011-10-14,77.01,77.10,75.73,75.99,1745000,71.60
2011-10-13,75.90,76.59,75.28,76.41,1138000,72.00
2011-10-12,76.63,76.92,75.96,76.13,1437000,71.73
2011-10-11,75.46,76.60,75.46,76.32,1597200,71.91
2011-10-10,75.24,75.81,74.51,75.75,1543000,71.38
2011-10-07,73.60,74.80,73.08,74.00,2385800,69.73
2011-10-06,72.27,73.73,72.11,73.13,2150800,68.91
2011-10-05,73.10,73.77,71.97,72.49,2974300,68.31
2011-10-04,70.45,72.76,70.37,72.70,2300000,68.50
2011-10-03,72.58,73.29,71.11,71.16,2724100,67.05
2011-09-30,71.69,73.40,71.53,72.64,3346500,68.45
2011-09-29,74.25,74.39,71.00,72.49,3619300,68.31
2011-09-28,74.30,74.92,73.24,73.32,1831200,69.09
2011-09-27,75.17,75.23,73.71,74.27,2929300,69.98
2011-09-26,72.98,73.80,72.19,73.78,4816700,69.52
2011-09-23,73.48,74.72,71.74,72.09,4777100,67.93
2011-09-22,70.87,74.21,70.77,73.14,5399200,68.92
2011-09-21,75.47,75.73,72.65,72.65,4054200,68.46
2011-09-20,76.94,76.99,75.32,75.44,3063100,71.08
2011-09-19,75.06,77.04,74.84,76.69,3547000,72.26
2011-09-16,75.28,76.21,74.51,76.03,4099500,71.64
2011-09-15,73.76,75.50,73.76,75.44,2038400,71.08
2011-09-14,73.07,74.50,72.61,73.58,2807500,69.33
2011-09-13,72.62,74.22,72.16,72.71,3090600,68.51
2011-09-12,70.50,72.29,70.50,72.24,2527900,68.07
2011-09-09,71.16,71.98,70.53,71.57,2546700,67.44
2011-09-08,72.55,73.00,71.82,71.94,1735700,67.79
2011-09-07,72.10,73.18,71.43,72.94,1668400,68.73
2011-09-06,69.67,71.33,69.10,71.22,2347900,67.11
2011-09-02,72.14,72.66,71.13,71.37,2202800,67.25
2011-09-01,74.40,75.00,72.95,73.05,2352800,68.83
2011-08-31,74.58,74.75,73.67,74.19,1814500,69.91
2011-08-30,73.21,74.57,72.50,74.10,2193800,69.82
2011-08-29,73.81,74.46,73.14,74.07,1869100,69.09
2011-08-26,71.71,73.27,70.52,73.25,1842500,68.32
2011-08-25,73.53,73.75,71.73,72.04,2004400,67.19
2011-08-24,71.77,73.29,71.52,73.26,1710300,68.33
2011-08-23,70.23,71.98,70.11,71.88,2530900,67.04
2011-08-22,70.40,70.77,69.40,69.92,1990200,65.22
2011-08-19,68.33,70.23,68.17,69.39,3031700,64.72
2011-08-18,69.74,69.96,68.32,69.38,4174800,64.71
2011-08-17,71.00,71.66,70.62,71.19,2366900,66.40
2011-08-16,69.99,71.93,69.37,70.69,3184000,65.93
2011-08-15,69.83,70.48,69.42,70.26,3031300,65.53
2011-08-12,69.66,70.35,68.07,69.12,3262300,64.47
2011-08-11,66.99,69.70,66.36,68.84,3298900,64.21
2011-08-10,69.48,69.80,66.68,66.87,4806500,62.37
2011-08-09,69.45,70.99,67.06,70.88,8253700,66.11
2011-08-08,71.65,72.87,68.77,68.90,4897200,64.27
2011-08-05,72.04,73.98,71.98,72.82,6414600,67.92
2011-08-04,72.88,72.96,71.30,71.32,3333000,66.52
2011-08-03,73.54,74.01,72.35,73.56,3432800,68.61
2011-08-02,73.96,75.11,73.62,73.68,4183000,68.72
